model,fn,fp,tn,tp,fn_rate,fp_rate,error_rate
baseline_lr,13,11,346,199,0.06132075471698113,0.03081232492997199,0.0421792618629174
baseline_dt,20,24,333,192,0.09433962264150944,0.06722689075630252,0.0773286467486819
homog_rf,14,13,344,198,0.0660377358490566,0.036414565826330535,0.04745166959578207
hetero_vote_soft,16,7,350,196,0.07547169811320754,0.0196078431372549,0.040421792618629174
hetero_vote_hard,19,4,353,193,0.08962264150943396,0.011204481792717087,0.040421792618629174
